{'timestamp': Timestamp('2024-05-29 19:47:36.621000'), 'Close': 67380.0, 'ma1': 67383.80583333333, 'ma2': 67402.7523076923, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -18.946474358963314}
{'timestamp': Timestamp('2024-05-29 19:47:39.379000'), 'Close': 67380.01, 'ma1': 67382.93916666666, 'ma2': 67400.3496153846, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -17.410448717942927}
{'timestamp': Timestamp('2024-05-29 19:47:41.640000'), 'Close': 67380.0, 'ma1': 67382.07166666667, 'ma2': 67397.94615384615, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -15.874487179477}
{'timestamp': Timestamp('2024-05-29 19:47:43.729000'), 'Close': 67380.0, 'ma1': 67381.20416666666, 'ma2': 67396.0223076923, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -14.818141025636578}
{'timestamp': Timestamp('2024-05-29 19:47:46.049000'), 'Close': 67368.86, 'ma1': 67379.40833333333, 'ma2': 67394.08269230768, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -14.674358974356437}
{'timestamp': Timestamp('2024-05-29 19:47:48.538000'), 'Close': 67368.86, 'ma1': 67378.14666666667, 'ma2': 67392.14346153846, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -13.996794871796737}
{'timestamp': Timestamp('2024-05-29 19:47:50.937000'), 'Close': 67368.87, 'ma1': 67377.21833333334, 'ma2': 67390.20423076923, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -12.985897435894003}
{'timestamp': Timestamp('2024-05-29 19:47:52.949000'), 'Close': 67368.86, 'ma1': 67376.28916666667, 'ma2': 67388.265, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -11.975833333330229}
{'timestamp': Timestamp('2024-05-29 19:47:56.227000'), 'Close': 67368.86, 'ma1': 67375.36083333332, 'ma2': 67386.52884615384, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -11.168012820518925}
{'timestamp': Timestamp('2024-05-29 19:47:58.302000'), 'Close': 67361.22, 'ma1': 67373.79583333332, 'ma2': 67384.58115384614, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.785320512819453}
{'timestamp': Timestamp('2024-05-29 19:48:00.908000'), 'Close': 67354.01, 'ma1': 67371.62999999999, 'ma2': 67382.35576923077, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.725769230775768}
{'timestamp': Timestamp('2024-05-29 19:48:03.305000'), 'Close': 67354.01, 'ma1': 67369.46333333333, 'ma2': 67380.13038461538, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.667051282041939}
{'timestamp': Timestamp('2024-05-29 19:48:05.931000'), 'Close': 67354.0, 'ma1': 67367.29666666668, 'ma2': 67377.905, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.608333333322662}
{'timestamp': Timestamp('2024-05-29 19:48:08.522000'), 'Close': 67359.25, 'ma1': 67365.56666666667, 'ma2': 67375.88384615384, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.317179487174144}
{'timestamp': Timestamp('2024-05-29 19:48:10.987000'), 'Close': 67368.86, 'ma1': 67364.63833333334, 'ma2': 67374.66692307693, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.028589743596967}
