open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-22 13:00:00,0.7425,0.7474,0.7349,0.7396,13470999.0,2024-04-22 13:59:59.999,9978476.22170,23950,6368611,4718406.33840,0
2024-04-22 14:00:00,0.7396,0.7415,0.7329,0.7338,10559490.0,2024-04-22 14:59:59.999,7785817.13880,19271,4778599,3524554.41380,0
2024-04-22 15:00:00,0.7339,0.7391,0.7279,0.7385,17529095.0,2024-04-22 15:59:59.999,12834745.07620,28876,8207223,6012203.66380,0
2024-04-22 16:00:00,0.7386,0.7419,0.7306,0.7341,12219983.0,2024-04-22 16:59:59.999,8992386.78680,22613,5828048,4289340.11150,0
2024-04-22 17:00:00,0.7342,0.7455,0.7342,0.7406,12312032.0,2024-04-22 17:59:59.999,9112835.28970,21590,6419680,4752330.55770,0
2024-04-22 18:00:00,0.7405,0.7428,0.7387,0.7393,5060513.0,2024-04-22 18:59:59.999,3748544.88200,13045,2369880,1755346.21470,0
2024-04-22 19:00:00,0.7393,0.7403,0.7344,0.7381,5868983.0,2024-04-22 19:59:59.999,4325818.83410,13314,2718317,2003709.69980,0
2024-04-22 20:00:00,0.7381,0.7412,0.7362,0.7392,4673988.0,2024-04-22 20:59:59.999,3453267.32090,11835,2356458,1740873.35290,0
2024-04-22 21:00:00,0.7392,0.7414,0.7375,0.7401,3912489.0,2024-04-22 21:59:59.999,2894163.43030,9614,2080153,1538824.20320,0
2024-04-22 22:00:00,0.7401,0.7484,0.7398,0.7463,10030841.0,2024-04-22 22:59:59.999,7458872.19990,16455,5133283,3817228.94570,0
2024-04-22 23:00:00,0.7463,0.7493,0.7417,0.7419,8472602.0,2024-04-22 23:59:59.999,6319450.47060,17226,4005082,2987308.36100,0
2024-04-23 00:00:00,0.7418,0.7475,0.7394,0.7472,10177048.0,2024-04-23 00:59:59.999,7561202.27240,19495,4621063,3434093.32990,0
2024-04-23 01:00:00,0.7473,0.7482,0.7428,0.7428,6243015.0,2024-04-23 01:59:59.999,4656746.32010,16659,3031229,2261071.66640,0
