open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,sma_50,ema_50,rsi,macd,macd_signal,macd_hist,doji,hammer,close_lag_1
2024-04-20 09:00:00,-1.0600051431176938,-1.2143940864726714,-1.0736026215766477,-1.131605100294446,-0.23190559521067658,2024-04-20 09:59:59.999,7978627.6506,19927,5830038,3957883.1526,0,-1.9190207612001722,-2.04086725640254,0.13952016886410418,0.35990151181375396,0.3103088928214433,0.2217087435230694,0,100,-1.059005076976551
2024-04-20 10:00:00,-1.1326380842659534,-1.1831901683249582,-1.0624301230865312,-1.1430682618709544,-0.2421662630608019,2024-04-20 10:59:59.999,7919713.2351,18940,6060819,4120268.6394,0,-1.9000139163466874,-2.030560504372743,0.11426628803423482,0.3253837349389089,0.3168948947963103,0.10117856696867338,100,0,-1.131605100294446
2024-04-20 11:00:00,-1.1479292297708483,-1.1675882092511036,-1.0065676306359652,-1.0628261308353872,-0.6646758529373546,2024-04-20 11:59:59.999,5089752.0611,16563,3696304,2517214.0722,0,-1.883778903034328,-2.016101637272663,0.27966855616798664,0.3220012951114574,0.32142783343579384,0.07875054917689468,0,0,-1.1430682618709544
2024-04-20 12:00:00,-1.0638279294939175,-0.9842651901332918,-0.935808473531912,-0.9176260841995973,-0.4114874630308737,2024-04-20 12:59:59.999,6824745.6457,17979,4937150,3377599.7561,0,-1.8679398656564221,-1.9939650486578588,0.5661561626293858,0.3659619189530469,0.3346179890482919,0.17332347975908605,0,0,-1.0628261308353872
2024-04-20 13:00:00,-0.9223848335736219,-0.9296583333747968,-0.7644968300168351,-0.7609628759872992,-0.3530546109814628,2024-04-20 13:59:59.999,7248313.2623,16478,5673891,3897555.5327,0,-1.8578424793280022,-1.9638009254430677,0.8503208700335853,0.450556781764477,0.36357405497334055,0.34555300181006654,0,0,-0.9176260841995973
2024-04-20 14:00:00,-0.7656505921484315,-0.7775392324046982,-0.6229785158087328,-0.6960049603870765,0.2670138281154026,2024-04-20 14:59:59.999,11526548.1765,22863,8753732,6048190.7914,0,-1.8379446886220063,-1.9311312745345977,0.9632613318443237,0.5336789760491846,0.4048224643825196,0.4798366810387188,0,0,-0.7609628759872992
2024-04-20 15:00:00,-0.7006632237526192,-0.3211819294944027,-0.5931851865017623,-0.1610574201499593,0.4846168644161696,2024-04-20 15:59:59.999,13148322.8381,29943,10067078,7025263.4916,0,-1.8080485055712054,-1.8693674435775594,1.7070839727815428,0.780466013167191,0.49151067170928736,0.9762288666018568,0,0,-0.6960049603870765
2024-04-20 16:00:00,-0.16165034470501186,-0.07545107408116869,-0.12766441608036005,-0.054067912102539264,0.8449680598080561,2024-04-20 16:59:59.999,15831997.2796,36697,10911266,7712646.2251,0,-1.7866658051110322,-1.803950655072585,1.8243888958726606,1.0017267920091815,0.608997380598188,1.3126770068471996,0,0,-0.1610574201499593
2024-04-20 17:00:00,-0.05078953979451477,0.7319503079908917,0.12185471686550757,0.8629850140182331,1.1628413952012495,2024-04-20 17:59:59.999,18452883.7751,44593,13413249,9692193.9345,0,-1.7404356147642681,-1.6890272145439231,2.541619324526695,1.486177214642328,0.8083808214156508,2.2073310241521833,0,0,-0.054067912102539264
2024-04-20 18:00:00,0.8590336177468383,0.860666470350204,0.8071012909258112,0.7789218291238298,0.9194509897047947,2024-04-20 18:59:59.999,16898980.3479,39632,10772306,7868678.8408,0,-1.6901466710894195,-1.5833838437635133,2.3404729554805948,1.8182146937622559,1.0401236191068524,2.5608302168885837,0,0,0.8629850140182331
